gene,n_groups,F,pval,qval
Ddx19b,3,63.45063688845465,1.9225333465263393e-27,4.5898318633286475e-27
Aars,3,41.32310679052453,2.6002928895339823e-18,4.7472772687463304e-18
Clec18a,3,37.56466811233931,9.666377635072866e-17,1.6704443347255209e-16
Pdpr,3,42.434776551860175,8.946728803092356e-19,1.6582123173133013e-18
Glg1,3,111.31897633278498,1.4614331698794914e-46,5.806672210179596e-46
Rfwd3,3,48.383746863522354,3.022995246360065e-21,6.0301607025248224e-21
Wdr59,3,90.94436179397115,1.5841600961227357e-38,5.141350258715694e-38
Znrf1,3,196.69563645005906,1.0622009768432335e-78,8.661023349644827e-78
Ldhd,3,14.07900184943304,8.477609881550321e-07,1.0353878815359023e-06
Zfp1,3,136.1614033012498,3.6733676312753196e-56,1.851875575899344e-55
Bcar1,3,39.14284987088708,2.11456549546784e-17,3.743327532639118e-17
Cfdp1,3,74.20698681368161,8.197085494184533e-32,2.210185184120979e-31
Tmem170,3,24.00264477946422,5.0015400062882115e-11,7.107574338616612e-11
Tmem231,3,78.59139461699047,1.395949838960934e-33,3.9545964529244215e-33
Gabarapl2,3,60.29632745966175,3.748344543852105e-26,8.622819397916051e-26
Adat1,3,91.82714721409208,7.055973766213735e-39,2.3096756232584698e-38
Kars,3,9.132336319933739,0.00011269485389875718,0.00012786208758617368
Terf2ip,3,18.988474284541006,6.7739649492244474e-09,8.937615838407406e-09
Cntnap4,3,58.95856938692319,1.3245890780795558e-25,3.0023690706191492e-25
Mon1b,3,1.2638501440291698,0.28278992825891586,0.2872674354563487
Nudt7,3,105.74904809999391,2.2213352027826373e-44,8.341982785557717e-44
Vat1l,3,138.72356324631417,3.863369029923669e-57,1.9938386314466353e-56
Wwox,3,49.24111895637622,1.3348725594288424e-21,2.6864943865672096e-21
Maf,3,57.16767694559702,7.196372992545467e-25,1.5993397771946989e-24
Dynlrb2,3,329.0460965633306,3.047975252157615e-124,4.947379270812427e-123
Cdyl2,3,17.517393368562324,2.872473607116199e-08,3.703379510390953e-08
Cmc2,3,16.748953066513103,6.114424887652041e-08,7.792455763771917e-08
Atmin,3,19.297831850591738,5.000552559573455e-09,6.636552607642941e-09
1700030J22Rik,3,68.15892719638671,2.3201336689064927e-29,5.839857407385948e-29
Gcsh,3,13.380790673882478,1.6880670603863117e-06,2.038590991292762e-06
Gan,3,34.446499931099154,1.960358226695753e-15,3.247284520100724e-15
Cmip,3,524.4283249380948,8.782175409953086e-184,3.314387561836784e-182
Mphosph6,3,14.919590475833616,3.7019933743832854e-07,4.592641892299232e-07
Cdh13,3,340.79703164333154,4.596806009682582e-128,7.925751804530507e-127
Hsbp1,3,44.07663910691561,1.8544689788201402e-19,3.5050144715520807e-19
Mlycd,3,32.90278227063555,8.727521818950833e-15,1.4115495684358585e-14
Necab2,3,194.5627323770777,6.320655695550504e-78,5.072336598338423e-77
Mbtps1,3,88.57055976482845,1.3986190568141951e-37,4.420317942070272e-37
Hsdl1,3,18.43106918931972,1.170761177953762e-08,1.5283335574273247e-08
Taf1c,3,19.37458232352132,4.637873677809154e-09,6.163942447938681e-09
Meak7,3,32.56968790476029,1.204924333360468e-14,1.9390135476784294e-14
Cotl1,3,37.213012331367985,1.3566682108186697e-16,2.330578563962737e-16
Klhl36,3,20.39491207513108,1.705483915249374e-09,2.297982638099908e-09
Usp10,3,68.09172065621725,2.4707922807243486e-29,6.212656332926941e-29
Galnt2l,3,20.07121811882475,2.3422545831856483e-09,3.140352328314238e-09
Zdhhc7,3,18.103286347868696,1.6153441568821198e-08,2.099034780129308e-08
6430548M08Rik,3,26.633992018640573,3.84223298243547e-12,5.657304028975527e-12
Cibar2,3,83.13675037527474,2.0832171507155373e-35,6.199808854302344e-35
1190005I06Rik,3,29.473356355938115,2.427512060801165e-13,3.7315727643336954e-13
Emc8,3,7.721353372228437,0.0004566232236197309,0.0005075441867351618
Cox4i1,3,21.662578830617488,4.927904741933185e-10,6.762485512120402e-10
Irf8,3,7.537540557166569,0.0005480012477291139,0.0006073954546115565
Mthfsd,3,79.79590605618338,4.572963149377047e-34,1.3128690718536553e-33
Fbxo31,3,78.10849409097375,2.1843985036856193e-33,6.1595692250584544e-33
Map1lc3b,3,12.175576440718476,5.548734037854803e-06,6.582877656588813e-06
Zcchc14,3,172.48019856100393,7.985833950055093e-70,5.429298151208677e-69
Klhdc4,3,26.25243548261523,5.572067693326012e-12,8.163882834332223e-12
Slc7a5,3,35.13392057045715,1.008890858819822e-15,1.6837869070391061e-15
Banp,3,32.691427190311956,1.0709327267212108e-14,1.7265798093812406e-14
Zc3h18,3,25.063739671614428,1.7755261915162163e-11,2.559865674107945e-11
Mvd,3,0.20259253465798902,0.81662769574894,0.8191139316365982
Rnf166,3,32.78057400374271,9.823703309781001e-15,1.5861052098838464e-14
Ctu2,3,10.687010271808067,2.4174233406546287e-05,2.8081995621331426e-05
Piezo1,3,394.97566229954685,2.9228614166012237e-145,6.537556085939251e-144
Aprt,3,25.905830607827717,7.811123228464895e-12,1.1378775353129429e-11
Galns,3,58.905311981567046,1.3929051309661122e-25,3.155456893974523e-25
Trappc2l,3,25.65664994843099,9.958809500165694e-12,1.4469354923363505e-11
Cbfa2t3,3,87.0933699660903,5.437078196120873e-37,1.6907648778243223e-36
Acsf3,3,6.518711956672121,0.0015071642154192433,0.0016439094296671955
Ankrd11,3,169.635678511105,9.057288314487492e-69,6.006982837519179e-68
Spg7,3,69.13729335863596,9.288532373788062e-30,2.3682746211352533e-29
Rpl13,3,14.827051276347962,4.055412555797814e-07,5.021889379843088e-07
Cpne7,3,651.1112460979002,1.9656708494449767e-218,1.1688550075480129e-216
Chmp1a,3,19.83710867885797,2.946554705338225e-09,3.9418900195426874e-09
Spata33,3,28.32814428295458,7.388053462687329e-13,1.1154368554639403e-12
Cdk10,3,29.57312032843198,2.2033258836339376e-13,3.3938011778490896e-13
Spata2l,3,37.221961087297124,1.3450143172239134e-16,2.3108843589794933e-16
Vps9d1,3,128.56319325504452,3.0109416362300554e-53,1.4057211239235686e-52
Zfp276,3,4.503263736191487,0.01118547473070248,0.011848360876543555
Tcf25,3,32.22548203919523,1.6817004039039705e-14,2.690279255064226e-14
Tubb3,3,89.56395437770874,5.618308757641782e-38,1.792858213498778e-37
Def8,3,3.430843871935458,0.03255048036341025,0.03398341517899717
Afg3l1,3,32.134589857817836,1.836496645645463e-14,2.933677645186502e-14
Dbndd1,3,49.172117151805665,1.4256058626323809e-21,2.8657875107995915e-21
Gas8,3,67.13809459983865,6.035654578476818e-29,1.5027497816918385e-28
Rhou,3,1.7579915232582466,0.17265744245874057,0.17637595102422254
Rab4a,3,10.274926373168924,3.634623566482416e-05,4.194855261827367e-05
Ccsap,3,243.72602529666,1.948607334941769e-95,2.1208503047268002e-94
Nup133,3,32.80311766348197,9.611606016515807e-15,1.5520661987194024e-14
Abcb10,3,26.867118089004816,3.061822397096278e-12,4.525720264411741e-12
Taf5l,3,45.41922389117723,5.1304115468596577e-20,9.876771439706132e-20
Pgbd5,3,384.6370804208856,4.9558766884187194e-142,1.0506458579447684e-140
Cog2,3,46.347225106121876,2.1126747155202437e-20,4.11266444940782e-20
2310022B05Rik,3,41.9899519142486,1.3709240133195167e-18,2.5240241236014056e-18
Ttc13,3,162.73577567553173,3.3575344893329565e-66,2.101044426333098e-65
Arv1,3,103.34383988946576,1.9596530720412077e-43,7.145728671307903e-43
Fam89a,3,1.0370107662493357,0.3547036469786476,0.3594809990580075
