gene,n_groups,F,pval,qval
Slc7a2,2,840.9103430529718,2.0073600265963577e-178,8.703472263416828e-178
Pdgfrl,2,275.8826239244988,3.1242815814677366e-61,6.261469607945962e-61
Mtus1,2,436.15643145836594,4.50859217245459e-95,1.1896797993516541e-94
Pcm1,2,1221.6020509055006,2.77537518023707e-254,1.7478301552313566e-253
Asah1,2,495.91900826195644,1.4522355624919905e-107,4.1583406157021923e-107
Frg1,2,280.2792132084152,3.627048562452222e-62,7.3372788789800415e-62
Fat1,2,145.69975306430055,2.41625668334515e-33,3.7511349470354877e-33
Cyp4v3,2,40.62777472230294,1.913126220399281e-10,2.2998147414074186e-10
Fam149a,2,63.846236522516165,1.4752055190733434e-15,1.883205692236848e-15
Tlr3,2,662.2105489668205,5.5651533122294455e-142,1.9743286130406054e-141
Sorbs2,2,17048.002222200932,0.0,0.0
1700029J07Rik,2,87.61614585034722,9.439735660880401e-21,1.2780760412379085e-20
Ufsp2,2,658.6547247474945,2.9939654820503803e-141,1.0563643404720095e-140
Ankrd37,2,45.166986067048015,1.8959753657815235e-11,2.3067558771855096e-11
Lrp2bp,2,24.94089010658835,5.999458953916366e-07,6.908252134440952e-07
Snx25,2,125.46800601294429,5.703666499654398e-29,8.40970430167213e-29
Cfap97,2,647.7292773380881,5.284032074292264e-139,1.835761935989415e-138
Slc25a4,2,612.9636706483361,7.695440829801671e-132,2.5640144280604833e-131
Acsl1,2,996.2109765391294,1.1766210742134584e-209,6.022313742319374e-209
Cenpu,2,149.89727409255948,3.0017549236115267e-34,4.695513459504719e-34
Primpol,2,71.88578992848916,2.5619684594481126e-17,3.330951335484606e-17
Casp3,2,52.804097614643354,3.927097317599952e-13,4.869973522209033e-13
Irf2,2,706.3531098850948,4.920734723105567e-151,1.8439520132045798e-150
Enpp6,2,473.26703660457383,7.746119077519281e-103,2.155331453277794e-102
Stox2,2,57.96860008075402,2.874559537530167e-14,3.609874896719034e-14
Trappc11,2,439.9515940164516,7.2237276374464596e-96,1.9154229206924206e-95
Rwdd4a,2,359.396591658531,6.282988038676591e-79,1.4542189387865531e-78
Ing2,2,871.1573193078558,1.542414147187689e-184,6.928622280224063e-184
Cdkn2aip,2,552.4431408154512,2.5562905424930294e-119,7.893760111212846e-119
Wwc2,2,142.81669012796573,1.0128852464199712e-32,1.5594506616081706e-32
Dctd,2,161.72526355603875,8.46616569757616e-37,1.3574645282799168e-36
Tenm3,2,598.5799410672198,7.181323515529884e-129,2.354600498068017e-128
Aga,2,25.735039856848434,3.978429453553066e-07,4.5919777123854914e-07
Vegfc,2,443.5851161121566,1.2520106336919356e-96,3.3393505690302875e-96
Spcs3,2,635.2139760546936,1.991639592500796e-136,6.811287065591846e-136
Asb5,2,434.2449610994426,1.1342117424963176e-94,2.984143387578923e-94
Wdr17,2,615.2425372334206,2.606324482161524e-132,8.709547789835705e-132
Gpm6a,2,4469.434759486262,0.0,0.0
Glra3,2,512.8005203933566,4.4191269535295575e-111,1.2968118500053038e-110
Hpgd,2,46.46727101049515,9.788593063846076e-12,1.1956501050200979e-11
Cep44,2,391.2086758627692,1.2407639313358049e-85,3.0384959876087205e-85
Fbxo8,2,630.6228651341503,1.7578204779516154e-135,5.989022666790757e-135
Scrg1,2,539.6971049474298,1.1300890454187016e-116,3.430420020774892e-116
Sap30,2,23.31928739147609,1.3900904735418793e-06,1.59229184523087e-06
Hmgb2,2,69.29822518282337,9.433710816670007e-17,1.2188275416934124e-16
Galnt7,2,582.917338178182,1.2429215753921615e-125,3.9811003725836177e-125
Galntl6,2,4347.243164649517,0.0,0.0
Mfap3l,2,226.0985257326568,1.2978940430292266e-50,2.3751303624557477e-50
Hpf1,2,590.5381466284832,3.2983350914756716e-127,1.0690666638655576e-126
Clcn3,2,1499.9553356094586,2.69284409471098e-308,2.101068017378171e-307
Nek1,2,1491.0078366919308,1.406152500243453e-306,1.0921198149403696e-305
Sh3rf1,2,1800.8816361965778,0.0,0.0
Cbr4,2,45.545698651159434,1.5638320791904943e-11,1.9045270722362988e-11
Palld,2,396.3399844837064,1.0329751771087957e-86,2.552653230097486e-86
Ddx60,2,109.73829116838174,1.4624954296159197e-25,2.084631470713815e-25
Spock3,2,662.6146731227219,4.59661632944195e-142,1.6320030376147268e-141
Tll1,2,157.78628502626836,5.975370354931505e-36,9.510185225704694e-36
Cpe,2,986.6638477180109,9.530257537014522e-208,4.8215649304582975e-207
Msmo1,2,74.62151584793298,6.463654359236793e-18,8.467767462230938e-18
Klhl2,2,939.0080353153908,3.372241896401245e-198,1.6267235057071914e-197
Tmem192,2,267.3229691913443,2.0731948124188565e-59,4.083857066690508e-59
Marchf1,2,4374.729563958015,0.0,0.0
Tma16,2,162.45975974538678,5.88140249848628e-37,9.445846717833724e-37
Npy1r,2,999.0792501517973,3.1445722328141285e-210,1.615577504181056e-209
Naf1,2,524.1497354352194,1.923290483715936e-113,5.715593509253396e-113
Psd3,2,1184.3110387194622,5.900059492823782e-247,3.6053265024974475e-246
Csgalnact1,2,1374.704417350817,3.8658384589256595e-284,2.7595139057302236e-283
Ints10,2,1363.5249169726485,5.689149070752045e-282,4.025072967557072e-281
Lpl,2,67.33675743607472,2.53564248027033e-16,3.261758281438652e-16
Atp6v1b2,2,2636.757053701115,0.0,0.0
Lzts1,2,5872.421439621451,0.0,0.0
Zfp930,2,196.03488799681216,3.567743252356633e-44,6.156532563517848e-44
D130040H23Rik,2,254.76223601365376,9.839410842652148e-57,1.9009892886728313e-56
Gm10033,2,473.2196967270579,7.924522229111948e-103,2.204519966419347e-102
Zfp868,2,82.23739061694656,1.4047970148845625e-19,1.8758245011493066e-19
Zfp964,2,35.48316434026429,2.6489415638349455e-09,3.14511163387238e-09
Zfp869,2,375.1504203603492,2.9891377732355187e-82,7.13736113756922e-82
Gm20422,2,135.5021280233571,3.852774259973569e-31,5.822884462336555e-31
Zfp866,2,25.06188657606972,5.635313851834922e-07,6.490597198857519e-07
Atp13a1,2,220.86746903191602,1.7066682023183995e-49,3.0849475529332186e-49
Gmip,2,3.4481021958563383,0.06335033609810736,0.06643129269389304
Pbx4,2,974.7429310116147,2.313094042463055e-205,1.156036404445112e-204
Yjefn3,2,191.56583563166924,3.2464812290846833e-43,5.553482057157327e-43
Ndufa13,2,230.94198393228137,1.1961524397424813e-51,2.204985037516877e-51
Gatad2a,2,81.80094252810194,1.749152046792931e-19,2.331973834884206e-19
Mau2,2,289.3300721946153,4.321370653255867e-64,8.898211149587343e-64
Sugp1,2,1495.2769445576907,2.129416436439838e-307,1.658600508749929e-306
Hapln4,2,283.7054546488037,6.777035211604779e-63,1.382686186759377e-62
Ncan,2,524.2121667756118,1.8666464847905928e-113,5.54847392765764e-113
Rfxank,2,0.08251506156773111,0.7739228191078792,0.7792000870709629
Nr2c2ap,2,55.156144369562625,1.1930346037339992e-13,1.487488027271468e-13
